MAE,RMSE,sMAPE,MASE,model,horizon,series_id,seasonality_strength
19.34514810718483,20.804785647642515,2.4084834459083124,0.30735395018577266,AutoETS,14,T1317,0.9871853456755911
23.814203535350284,24.96140596275123,2.9703892911305085,0.3783578955593245,AutoTheta,7,T1317,0.9871853456755911
22.69454142743511,24.01333531849489,2.8320415634188834,0.3605688060246082,AutoTheta,14,T1317,0.9871853456755911
20.121428571428492,23.87295570903844,1.1976941819570086,0.6718501088648361,Naive,7,T991,0.9412483512092515
20.402142857142866,22.528254164810154,1.2066808631766863,0.681223097604061,Naive,14,T991,0.9412483512092515
19.734285714285665,22.405098909463792,1.1757100849784374,0.6589234933517116,SeasonalNaive,7,T991,0.9412483512092515
23.13499999999999,25.183837362199476,1.3695161525107515,0.7724726012077832,SeasonalNaive,14,T991,0.9412483512092515
17.669890645776572,22.199734276853324,1.0525306240997934,0.5899937925308022,AutoETS,7,T991,0.9412483512092515
20.548665881125153,22.949039517168117,1.2153499075683094,0.6861154693988493,AutoETS,14,T991,0.9412483512092515
17.394389721412477,21.73081259363831,1.0362385183967708,0.580794876789342,AutoTheta,7,T991,0.9412483512092515
18.421582207381203,20.717183508836484,1.0895271471455978,0.6150926097297938,AutoTheta,14,T991,0.9412483512092515
141.02857142857178,161.34992142191248,0.8606244811954891,0.7418744976964676,Naive,7,T3448,0.9918840919112695
207.08571428571472,233.7644052092991,1.2606938460011663,1.089365145726093,Naive,14,T3448,0.9918840919112695
328.72857142857174,347.91666695181107,2.0208549847894717,1.7292619597339336,SeasonalNaive,7,T3448,0.9918840919112695
394.7857142857147,419.5888702051096,2.4208731236004875,2.076752607763559,SeasonalNaive,14,T3448,0.9918840919112695
128.70256029305736,148.5379312224273,0.7850161172068051,0.6770340669445171,AutoETS,7,T3448,0.9918840919112695
190.03516629243586,216.71526858392238,1.156121848468574,0.9996714999646034,AutoETS,14,T3448,0.9918840919112695
135.30879427483757,157.27117915742508,0.8255387995851164,0.7117858655854101,AutoTheta,7,T3448,0.9918840919112695
190.43194225913106,217.23624836293604,1.1585791463169615,1.0017587222062263,AutoTheta,14,T3448,0.9918840919112695
38.199999999999946,47.12869917273628,0.62840105453028,0.18845675583995383,Naive,7,T2682,0.9896869164309356
54.857142857142925,68.99138662595095,0.8950161363316752,0.27063348632214834,Naive,14,T2682,0.9896869164309356
81.74285714285712,88.780017056607,1.3468780811281806,0.4032720856081589,SeasonalNaive,7,T2682,0.9896869164309356
91.74285714285718,99.84634623832193,1.5053786906718911,0.45260631488563413,SeasonalNaive,14,T2682,0.9896869164309356
38.739152858056904,47.96874760887883,0.6372280072903339,0.19111662491145262,AutoETS,7,T2682,0.9896869164309356
54.631042469591456,68.64663513678167,0.8913147910455015,0.2695180374862293,AutoETS,14,T2682,0.9896869164309356
39.75828111264413,48.547853827010634,0.6538989770373033,0.1961444156089485,AutoTheta,7,T2682,0.9896869164309356
53.8639091714219,66.40815455552732,0.8787684237824072,0.26573344448440106,AutoTheta,14,T2682,0.9896869164309356
254.62857142857163,336.7014743911037,2.1856827392909763,1.0209291364267683,Naive,7,T1297,0.992225993260858
515.9928571428575,617.1312797359828,4.374329085039579,2.0688650102764052,Naive,14,T1297,0.992225993260858
270.1285714285714,353.5495176472052,2.303234160242417,1.083076135586498,SeasonalNaive,7,T1297,0.992225993260858
383.33571428571435,442.5160166592844,3.2256144558765283,1.5369783428134913,SeasonalNaive,14,T1297,0.992225993260858
248.12805875189224,329.5069243753696,2.128844233710417,0.9948654360489996,AutoETS,7,T1297,0.992225993260858
503.1357341440094,603.6104173080471,4.262008247703487,2.017314583682472,AutoETS,14,T1297,0.992225993260858
251.95415190716736,328.8481949617075,2.162365674432366,1.0102060946364793,AutoTheta,7,T1297,0.992225993260858
504.84591919755104,604.7671989842029,4.277003980327536,2.0241715429783067,AutoTheta,14,T1297,0.992225993260858
166.21428571428547,194.64818446182738,1.3121261950663878,0.8510472752116458,Naive,7,T1104,0.9872807888622561
216.71428571428532,237.89469158792534,1.7085080236965322,1.1096164301642168,Naive,14,T1104,0.9872807888622561
269.85714285714283,280.9082615883189,2.1435247999856037,1.38171749280172,SeasonalNaive,7,T1104,0.9872807888622561
322.94285714285706,333.8913938051455,2.5604763557933308,1.6535259736514387,SeasonalNaive,14,T1104,0.9872807888622561
166.31842709594224,194.76882810947933,1.3129556725416167,0.8515804979651228,AutoETS,7,T1104,0.9872807888622561
216.83925537227347,238.02593251479536,1.709503376567963,1.1102562974683894,AutoETS,14,T1104,0.9872807888622561
164.63654922342099,192.8783659007111,1.2995679723848237,0.8429689783565831,AutoTheta,7,T1104,0.9872807888622561
213.44608672570342,233.8263350027843,1.6824912253604785,1.0928826588633362,AutoTheta,14,T1104,0.9872807888622561
4.091043654900001,4.40525200754479,0.8389508411101159,0.12834080682849633,Naive,7,T3300,0.9857555146310673
4.566784104107147,5.27066459441773,0.9392130273531567,0.14326533910990238,Naive,14,T3300,0.9857555146310673
5.776385012499994,6.47567933965031,1.1876391108252897,0.18121192917810705,SeasonalNaive,7,T3300,0.9857555146310673
6.211105763792854,7.333730308799889,1.2793834429952216,0.19484962573487466,SeasonalNaive,14,T3300,0.9857555146310673
4.091126849514028,4.405309340175755,0.8389679289874611,0.12834341674048672,AutoETS,7,T3300,0.9857555146310673
4.566834020875563,5.270673410683312,0.9392232803234825,0.14326690505709658,AutoETS,14,T3300,0.9857555146310673
4.679793929166449,4.823596339399519,0.9600211841334101,0.14681058901460245,AutoTheta,7,T3300,0.9857555146310673
5.0961778300975675,5.568916616123023,1.0480956667784636,0.15987303720722695,AutoTheta,14,T3300,0.9857555146310673
71.62857142857267,77.98402766867589,0.40815930687108914,0.3178510963415376,Naive,7,T2762,0.9910089008443232
93.79285714285886,125.24398759450193,0.5329921693227025,0.41620490088359935,Naive,14,T2762,0.9910089008443232
359.2142857142857,405.83920285185485,2.0690972830557937,1.5940099356816562,SeasonalNaive,7,T2762,0.9910089008443232
391.1071428571431,418.8699346370632,2.249574220856349,1.7355341823075987,SeasonalNaive,14,T2762,0.9910089008443232
75.87416982880521,81.76650857035698,0.4323921490629297,0.3366908983817816,AutoETS,7,T2762,0.9910089008443232
83.01454083884606,113.19961480254607,0.47152598816516894,0.36837622601797515,AutoETS,14,T2762,0.9910089008443232
70.82724341493407,77.257221984583,0.4035736459830425,0.31429521099321395,AutoTheta,7,T2762,0.9910089008443232
